target,horizon,feature,feature_label,is_exogenous,coef,abs_coef
Trimmed mean,4,trimmed_mean_cpi_yoy_lag1,"Trimmed Mean CPI YoY (lag 1, autoregressive)",False,0.0,0.0
Trimmed mean,4,trimmed_mean_cpi_yoy_lag4,"Trimmed Mean CPI YoY (lag 4, autoregressive)",False,-0.0,0.0
Trimmed mean,4,cash_rate_change_lag1,Cash Rate Change (lag 1),True,-0.0,0.0
Trimmed mean,4,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,-0.128223,0.128223
Trimmed mean,4,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.520306,0.520306
Trimmed mean,4,ppi_growth_lag1,ppi_growth_lag1,True,0.0,0.0
Trimmed mean,4,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Trimmed mean,4,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.006344,0.006344
Trimmed mean,4,commodity_growth_lag1_sq,Commodity Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,4,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,4,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.039795,0.039795
Trimmed mean,5,trimmed_mean_cpi_yoy_lag1,"Trimmed Mean CPI YoY (lag 1, autoregressive)",False,0.025592,0.025592
Trimmed mean,5,trimmed_mean_cpi_yoy_lag4,"Trimmed Mean CPI YoY (lag 4, autoregressive)",False,-0.0,0.0
Trimmed mean,5,cash_rate_change_lag1,Cash Rate Change (lag 1),True,0.0,0.0
Trimmed mean,5,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,-0.090753,0.090753
Trimmed mean,5,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.179892,0.179892
Trimmed mean,5,ppi_growth_lag1,ppi_growth_lag1,True,0.039253,0.039253
Trimmed mean,5,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.003208,0.003208
Trimmed mean,5,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.027773,0.027773
Trimmed mean,5,commodity_growth_lag1_sq,Commodity Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,5,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.002014,0.002014
Trimmed mean,5,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.0,0.0
Trimmed mean,6,trimmed_mean_cpi_yoy_lag1,"Trimmed Mean CPI YoY (lag 1, autoregressive)",False,0.0,0.0
