target,model,forecast_origin,target_quarter,error,is_recent
Headline,sarima,2022Q3,2022Q4,0.871596,False
Headline,sarima,2022Q4,2023Q1,0.260907,False
Headline,sarima,2023Q1,2023Q2,0.144112,False
Headline,sarima,2023Q2,2023Q3,0.016654,False
Headline,sarima,2023Q3,2023Q4,-0.18234,False
Headline,sarima,2023Q4,2024Q1,0.376657,False
Headline,sarima,2025Q4,2026Q1,0.6160377675440629,True
Trimmed mean,elastic_net,2010Q4,2011Q1,-0.372502,False
Trimmed mean,elastic_net,2011Q1,2011Q2,0.254899,False
Trimmed mean,elastic_net,2011Q2,2011Q3,0.316172,False
Trimmed mean,elastic_net,2011Q3,2011Q4,-0.31019,False
Trimmed mean,elastic_net,2011Q4,2012Q1,-0.28252,False
Trimmed mean,elastic_net,2012Q1,2012Q2,-0.75566,False
Trimmed mean,elastic_net,2012Q2,2012Q3,0.11087,False
Trimmed mean,elastic_net,2012Q3,2012Q4,-0.212708,False
Trimmed mean,elastic_net,2012Q4,2013Q1,0.003016,False
Trimmed mean,elastic_net,2013Q1,2013Q2,0.047281,False
Trimmed mean,elastic_net,2013Q2,2013Q3,0.148522,False
Trimmed mean,elastic_net,2013Q3,2013Q4,0.054918,False
Trimmed mean,elastic_net,2013Q4,2014Q1,0.084645,False
Trimmed mean,elastic_net,2014Q1,2014Q2,0.110633,False
Trimmed mean,elastic_net,2014Q2,2014Q3,-0.321918,False
Trimmed mean,elastic_net,2014Q3,2014Q4,-0.568547,False
Trimmed mean,elastic_net,2014Q4,2015Q1,-0.041569,False
Trimmed mean,elastic_net,2015Q1,2015Q2,-0.003202,False
Trimmed mean,elastic_net,2015Q2,2015Q3,-0.167739,False
Trimmed mean,elastic_net,2015Q3,2015Q4,-0.327208,False
Trimmed mean,elastic_net,2015Q4,2016Q1,-0.36689,False
Trimmed mean,elastic_net,2016Q1,2016Q2,-0.242239,False
Trimmed mean,elastic_net,2016Q2,2016Q3,0.170712,False
Trimmed mean,elastic_net,2016Q3,2016Q4,-0.526374,False
Trimmed mean,elastic_net,2016Q4,2017Q1,0.178766,False
Trimmed mean,elastic_net,2017Q1,2017Q2,0.607188,False
Trimmed mean,elastic_net,2017Q2,2017Q3,-0.079838,False
Trimmed mean,elastic_net,2017Q3,2017Q4,-0.031321,False
Trimmed mean,elastic_net,2017Q4,2018Q1,0.04645,False
Trimmed mean,elastic_net,2018Q1,2018Q2,-0.362362,False
Trimmed mean,elastic_net,2018Q2,2018Q3,-0.326022,False
Trimmed mean,elastic_net,2018Q3,2018Q4,-0.167192,False
Trimmed mean,elastic_net,2018Q4,2019Q1,-0.173714,False
Trimmed mean,elastic_net,2019Q1,2019Q2,-0.341661,False
Trimmed mean,elastic_net,2019Q2,2019Q3,-0.09016,False
Trimmed mean,elastic_net,2019Q3,2019Q4,-0.490182,False
Trimmed mean,elastic_net,2019Q4,2020Q1,0.040305,False
Trimmed mean,elastic_net,2020Q1,2020Q2,-0.230675,False
Trimmed mean,elastic_net,2020Q2,2020Q3,-0.231756,False
Trimmed mean,elastic_net,2020Q3,2020Q4,-0.065693,False
Trimmed mean,elastic_net,2020Q4,2021Q1,-0.201245,False
Trimmed mean,elastic_net,2021Q1,2021Q2,0.169865,False
Trimmed mean,elastic_net,2021Q2,2021Q3,1.07944,False
Trimmed mean,elastic_net,2021Q3,2021Q4,0.518906,False
Trimmed mean,elastic_net,2021Q4,2022Q1,1.466289,False
Trimmed mean,elastic_net,2022Q1,2022Q2,1.54,False
Trimmed mean,elastic_net,2022Q2,2022Q3,1.666631,False
Trimmed mean,elastic_net,2022Q3,2022Q4,0.341318,False
Trimmed mean,elastic_net,2022Q4,2023Q1,0.008908,False
Trimmed mean,elastic_net,2023Q1,2023Q2,-1.197311,False
Trimmed mean,elastic_net,2023Q2,2023Q3,-0.853399,False
Trimmed mean,elastic_net,2023Q3,2023Q4,-1.822766,False
Trimmed mean,elastic_net,2023Q4,2024Q1,-0.12282,False
Trimmed mean,elastic_net,2025Q4,2026Q1,0.6398567799228925,True
Trimmed mean,ensemble,2010Q4,2011Q1,0.027144,False
Trimmed mean,ensemble,2011Q1,2011Q2,0.21626,False
Trimmed mean,ensemble,2011Q2,2011Q3,-0.200043,False
Trimmed mean,ensemble,2011Q3,2011Q4,-0.056535,False
Trimmed mean,ensemble,2011Q4,2012Q1,-0.292956,False
Trimmed mean,ensemble,2012Q1,2012Q2,-0.272871,False
Trimmed mean,ensemble,2012Q2,2012Q3,0.116312,False
Trimmed mean,ensemble,2012Q3,2012Q4,-0.145166,False
Trimmed mean,ensemble,2012Q4,2013Q1,-0.071012,False
Trimmed mean,ensemble,2013Q1,2013Q2,0.036702,False
Trimmed mean,ensemble,2013Q2,2013Q3,0.083572,False
Trimmed mean,ensemble,2013Q3,2013Q4,0.146108,False
Trimmed mean,ensemble,2013Q4,2014Q1,-0.111008,False
Trimmed mean,ensemble,2014Q1,2014Q2,0.089506,False
Trimmed mean,ensemble,2014Q2,2014Q3,-0.376443,False
Trimmed mean,ensemble,2014Q3,2014Q4,-0.12294,False
Trimmed mean,ensemble,2014Q4,2015Q1,0.021312,False
Trimmed mean,ensemble,2015Q1,2015Q2,-0.021922,False
Trimmed mean,ensemble,2015Q2,2015Q3,-0.335069,False
Trimmed mean,ensemble,2015Q3,2015Q4,-0.023442,False
Trimmed mean,ensemble,2015Q4,2016Q1,-0.348965,False
Trimmed mean,ensemble,2016Q1,2016Q2,-0.057881,False
Trimmed mean,ensemble,2016Q2,2016Q3,-0.142044,False
Trimmed mean,ensemble,2016Q3,2016Q4,-0.159131,False
Trimmed mean,ensemble,2016Q4,2017Q1,0.05716,False
Trimmed mean,ensemble,2017Q1,2017Q2,0.179973,False
Trimmed mean,ensemble,2017Q2,2017Q3,-0.137379,False
Trimmed mean,ensemble,2017Q3,2017Q4,-0.011214,False
Trimmed mean,ensemble,2017Q4,2018Q1,0.018061,False
Trimmed mean,ensemble,2018Q1,2018Q2,-0.198109,False
Trimmed mean,ensemble,2018Q2,2018Q3,-0.087946,False
Trimmed mean,ensemble,2018Q3,2018Q4,0.001187,False
Trimmed mean,ensemble,2018Q4,2019Q1,-0.21766,False
Trimmed mean,ensemble,2019Q1,2019Q2,-0.204127,False
Trimmed mean,ensemble,2019Q2,2019Q3,0.023267,False
Trimmed mean,ensemble,2019Q3,2019Q4,-0.103269,False
Trimmed mean,ensemble,2019Q4,2020Q1,0.039034,False
Trimmed mean,ensemble,2020Q1,2020Q2,-0.455304,False
Trimmed mean,ensemble,2020Q2,2020Q3,-0.035985,False
Trimmed mean,ensemble,2020Q3,2020Q4,0.1318,False
Trimmed mean,ensemble,2020Q4,2021Q1,-0.175657,False
Trimmed mean,ensemble,2021Q1,2021Q2,0.181993,False
Trimmed mean,ensemble,2021Q2,2021Q3,0.627704,False
Trimmed mean,ensemble,2021Q3,2021Q4,0.473076,False
Trimmed mean,ensemble,2021Q4,2022Q1,1.035277,False
Trimmed mean,ensemble,2022Q1,2022Q2,0.89397,False
Trimmed mean,ensemble,2022Q2,2022Q3,0.940398,False
Trimmed mean,ensemble,2022Q3,2022Q4,0.169888,False
Trimmed mean,ensemble,2022Q4,2023Q1,-0.433986,False
Trimmed mean,ensemble,2023Q1,2023Q2,-0.644057,False
Trimmed mean,ensemble,2023Q2,2023Q3,-0.178804,False
Trimmed mean,ensemble,2023Q3,2023Q4,-0.752537,False
Trimmed mean,ensemble,2023Q4,2024Q1,0.030009,False
Trimmed mean,ensemble,2025Q4,2026Q1,0.2015143896003777,True
Trimmed mean,sarima,2004Q4,2005Q1,-0.004792,False
Trimmed mean,sarima,2005Q1,2005Q2,-0.062845,False
Trimmed mean,sarima,2005Q2,2005Q3,0.061686,False
Trimmed mean,sarima,2005Q3,2005Q4,-0.062887,False
Trimmed mean,sarima,2005Q4,2006Q1,0.219756,False
Trimmed mean,sarima,2006Q1,2006Q2,0.125354,False
Trimmed mean,sarima,2006Q2,2006Q3,0.072554,False
Trimmed mean,sarima,2006Q3,2006Q4,-0.196183,False
Trimmed mean,sarima,2006Q4,2007Q1,-0.148269,False
Trimmed mean,sarima,2007Q1,2007Q2,0.263245,False
Trimmed mean,sarima,2007Q2,2007Q3,0.161047,False
Trimmed mean,sarima,2007Q3,2007Q4,0.547037,False
Trimmed mean,sarima,2007Q4,2008Q1,0.265109,False
Trimmed mean,sarima,2008Q1,2008Q2,0.087445,False
Trimmed mean,sarima,2008Q2,2008Q3,0.327117,False
Trimmed mean,sarima,2008Q3,2008Q4,-0.398623,False
Trimmed mean,sarima,2008Q4,2009Q1,0.115498,False
Trimmed mean,sarima,2009Q1,2009Q2,-0.319109,False
Trimmed mean,sarima,2009Q2,2009Q3,-0.01423,False
Trimmed mean,sarima,2009Q3,2009Q4,0.112664,False
Trimmed mean,sarima,2009Q4,2010Q1,0.024276,False
Trimmed mean,sarima,2010Q1,2010Q2,-0.484568,False
Trimmed mean,sarima,2010Q2,2010Q3,-0.090081,False
Trimmed mean,sarima,2010Q3,2010Q4,-0.197579,False
Trimmed mean,sarima,2010Q4,2011Q1,0.217826,False
Trimmed mean,sarima,2011Q1,2011Q2,0.197824,False
Trimmed mean,sarima,2011Q2,2011Q3,-0.446343,False
Trimmed mean,sarima,2011Q3,2011Q4,0.064492,False
Trimmed mean,sarima,2011Q4,2012Q1,-0.297936,False
Trimmed mean,sarima,2012Q1,2012Q2,-0.042519,False
Trimmed mean,sarima,2012Q2,2012Q3,0.118909,False
Trimmed mean,sarima,2012Q3,2012Q4,-0.11294,False
Trimmed mean,sarima,2012Q4,2013Q1,-0.106333,False
Trimmed mean,sarima,2013Q1,2013Q2,0.031655,False
Trimmed mean,sarima,2013Q2,2013Q3,0.052582,False
Trimmed mean,sarima,2013Q3,2013Q4,0.189617,False
Trimmed mean,sarima,2013Q4,2014Q1,-0.20436,False
Trimmed mean,sarima,2014Q1,2014Q2,0.079425,False
Trimmed mean,sarima,2014Q2,2014Q3,-0.402458,False
Trimmed mean,sarima,2014Q3,2014Q4,0.089672,False
Trimmed mean,sarima,2014Q4,2015Q1,0.051315,False
Trimmed mean,sarima,2015Q1,2015Q2,-0.030854,False
Trimmed mean,sarima,2015Q2,2015Q3,-0.414907,False
Trimmed mean,sarima,2015Q3,2015Q4,0.121494,False
Trimmed mean,sarima,2015Q4,2016Q1,-0.340413,False
Trimmed mean,sarima,2016Q1,2016Q2,0.030082,False
Trimmed mean,sarima,2016Q2,2016Q3,-0.291269,False
Trimmed mean,sarima,2016Q3,2016Q4,0.016092,False
Trimmed mean,sarima,2016Q4,2017Q1,-0.000862,False
Trimmed mean,sarima,2017Q1,2017Q2,-0.023863,False
Trimmed mean,sarima,2017Q2,2017Q3,-0.164834,False
Trimmed mean,sarima,2017Q3,2017Q4,-0.00162,False
Trimmed mean,sarima,2017Q4,2018Q1,0.004516,False
Trimmed mean,sarima,2018Q1,2018Q2,-0.11974,False
Trimmed mean,sarima,2018Q2,2018Q3,0.025647,False
Trimmed mean,sarima,2018Q3,2018Q4,0.081525,False
Trimmed mean,sarima,2018Q4,2019Q1,-0.238628,False
Trimmed mean,sarima,2019Q1,2019Q2,-0.138506,False
Trimmed mean,sarima,2019Q2,2019Q3,0.077386,False
Trimmed mean,sarima,2019Q3,2019Q4,0.081339,False
Trimmed mean,sarima,2019Q4,2020Q1,0.038427,False
Trimmed mean,sarima,2020Q1,2020Q2,-0.562481,False
Trimmed mean,sarima,2020Q2,2020Q3,0.057423,False
Trimmed mean,sarima,2020Q3,2020Q4,0.22603,False
Trimmed mean,sarima,2020Q4,2021Q1,-0.163448,False
Trimmed mean,sarima,2021Q1,2021Q2,0.18778,False
Trimmed mean,sarima,2021Q2,2021Q3,0.412167,False
Trimmed mean,sarima,2021Q3,2021Q4,0.45121,False
Trimmed mean,sarima,2021Q4,2022Q1,0.829629,False
Trimmed mean,sarima,2022Q1,2022Q2,0.58573,False
Trimmed mean,sarima,2022Q2,2022Q3,0.593891,False
Trimmed mean,sarima,2022Q3,2022Q4,0.088093,False
Trimmed mean,sarima,2022Q4,2023Q1,-0.645303,False
Trimmed mean,sarima,2023Q1,2023Q2,-0.380084,False
Trimmed mean,sarima,2023Q2,2023Q3,0.143065,False
Trimmed mean,sarima,2023Q3,2023Q4,-0.2419,False
Trimmed mean,sarima,2023Q4,2024Q1,0.102927,False
Trimmed mean,sarima,2025Q4,2026Q1,-0.007631272379098775,True
