system,target,forecast_origin,quarter,shock,shock_z,flagged
System B,trimmed_mean_cpi_yoy,2025Q4,2006Q2,trimmed_mean_cpi_yoy,0.10249105753718926,False
System B,trimmed_mean_cpi_yoy,2025Q4,2006Q3,trimmed_mean_cpi_yoy,-0.25595473109730504,False
System B,trimmed_mean_cpi_yoy,2025Q4,2006Q4,trimmed_mean_cpi_yoy,-0.668939540723606,False
System B,trimmed_mean_cpi_yoy,2025Q4,2007Q1,trimmed_mean_cpi_yoy,-0.980061098680978,False
System B,trimmed_mean_cpi_yoy,2025Q4,2007Q2,trimmed_mean_cpi_yoy,0.39091108134230745,False
System B,trimmed_mean_cpi_yoy,2025Q4,2007Q3,trimmed_mean_cpi_yoy,-0.2960837588818069,False
System B,trimmed_mean_cpi_yoy,2025Q4,2007Q4,trimmed_mean_cpi_yoy,2.506925891408594,True
System B,trimmed_mean_cpi_yoy,2025Q4,2008Q1,trimmed_mean_cpi_yoy,0.6494178806304661,False
System B,trimmed_mean_cpi_yoy,2025Q4,2008Q2,trimmed_mean_cpi_yoy,0.08727422676659534,False
System B,trimmed_mean_cpi_yoy,2025Q4,2008Q3,trimmed_mean_cpi_yoy,0.897356712833791,False
System B,trimmed_mean_cpi_yoy,2025Q4,2008Q4,trimmed_mean_cpi_yoy,-2.393342127275123,True
System B,trimmed_mean_cpi_yoy,2025Q4,2009Q1,trimmed_mean_cpi_yoy,1.1872470473419414,False
System B,trimmed_mean_cpi_yoy,2025Q4,2009Q2,trimmed_mean_cpi_yoy,0.12114979251980969,False
System B,trimmed_mean_cpi_yoy,2025Q4,2009Q3,trimmed_mean_cpi_yoy,0.15914175463962502,False
System B,trimmed_mean_cpi_yoy,2025Q4,2009Q4,trimmed_mean_cpi_yoy,2.034823445002752,True
System B,trimmed_mean_cpi_yoy,2025Q4,2010Q1,trimmed_mean_cpi_yoy,0.29831542532148564,False
System B,trimmed_mean_cpi_yoy,2025Q4,2010Q2,trimmed_mean_cpi_yoy,-0.45118034993931044,False
System B,trimmed_mean_cpi_yoy,2025Q4,2010Q3,trimmed_mean_cpi_yoy,-0.026865587277837513,False
System B,trimmed_mean_cpi_yoy,2025Q4,2010Q4,trimmed_mean_cpi_yoy,-0.5398247609969247,False
System B,trimmed_mean_cpi_yoy,2025Q4,2011Q1,trimmed_mean_cpi_yoy,0.6988142089741939,False
System B,trimmed_mean_cpi_yoy,2025Q4,2011Q2,trimmed_mean_cpi_yoy,1.6665676295361025,False
System B,trimmed_mean_cpi_yoy,2025Q4,2011Q3,trimmed_mean_cpi_yoy,-1.7337456549956405,False
System B,trimmed_mean_cpi_yoy,2025Q4,2011Q4,trimmed_mean_cpi_yoy,1.3757565242844365,False
System B,trimmed_mean_cpi_yoy,2025Q4,2012Q1,trimmed_mean_cpi_yoy,-1.7753658502445582,False
System B,trimmed_mean_cpi_yoy,2025Q4,2012Q2,trimmed_mean_cpi_yoy,-0.6377162828454633,False
System B,trimmed_mean_cpi_yoy,2025Q4,2012Q3,trimmed_mean_cpi_yoy,1.1912736957754486,False
System B,trimmed_mean_cpi_yoy,2025Q4,2012Q4,trimmed_mean_cpi_yoy,-1.1834812681927553,False
System B,trimmed_mean_cpi_yoy,2025Q4,2013Q1,trimmed_mean_cpi_yoy,0.6004439133305752,False
System B,trimmed_mean_cpi_yoy,2025Q4,2013Q2,trimmed_mean_cpi_yoy,0.6131179613761576,False
System B,trimmed_mean_cpi_yoy,2025Q4,2013Q3,trimmed_mean_cpi_yoy,0.1513842966730528,False
System B,trimmed_mean_cpi_yoy,2025Q4,2013Q4,trimmed_mean_cpi_yoy,1.4136081168091095,False
System B,trimmed_mean_cpi_yoy,2025Q4,2014Q1,trimmed_mean_cpi_yoy,-0.028933440026086443,False
System B,trimmed_mean_cpi_yoy,2025Q4,2014Q2,trimmed_mean_cpi_yoy,1.289450057664599,False
System B,trimmed_mean_cpi_yoy,2025Q4,2014Q3,trimmed_mean_cpi_yoy,-0.8338148081898842,False
System B,trimmed_mean_cpi_yoy,2025Q4,2014Q4,trimmed_mean_cpi_yoy,0.2666841413321808,False
